band_id;genre_name
353;Psychedelic rock
353;Jam band
353;Progressive rock
354;Traditional folk music
356;Traditional folk music
357;Indie rock
357;Indietronica
357;Alternative rock
358;Punk rock
358;Pop punk
359;Black metal
360;Progressive metal
360;Technical death metal
360;Metalcore
360;Avant-garde metal
362;Indie rock
362;Indietronica
362;Alternative rock
362;Post-punk revival
363;Indie pop
363;Alternative rock
364;Emo
364;Indie rock
364;Indietronica
364;Punk rock
364;Pop punk
364;Alternative rock
365;Jazz rock
365;Jazz fusion
365;Progressive rock
366;Groove metal
366;Progressive metal
366;Metalcore
367;Pop punk
368;Gothic rock
368;Death metal
368;Gothic metal
369;Dream pop
369;Ambient music
369;Space rock
369;Drone music
370;Indie pop
370;Alternative rock
372;Dark wave
373;Rock music
374;Ambient music
375;Alternative rock
376;Black metal
376;Folk metal
376;Celtic metal
377;Progressive metal
377;Black metal
377;Folk metal
378;Folk rock
378;Alternative rock
378;Celtic punk
378;Celtic rock
378;Worldbeat
378;Gypsy punk
379;Progressive rock
380;Industrial rock
380;Experimental rock
381;Indie rock
381;Indietronica
381;Alternative rock
382;Hard rock
382;Post-grunge
382;Alternative metal
383;Hip hop
384;Hardcore punk
384;Post-hardcore
385;Hard rock
385;Glam metal
386;Hardcore punk
386;Post-hardcore
387;Emo
387;Melodic hardcore
387;Post-hardcore
388;Hard rock
388;Psychedelic rock
388;Progressive rock
389;Punk rock
389;Hardcore punk
389;Ska punk
390;Hard rock
390;Glam metal
391;Hard rock
391;Progressive metal
391;Alternative metal
391;Progressive rock
392;Groove metal
392;Death metal
392;Thrash metal
392;Nu metal
393;Post-grunge
393;Alternative rock
394;Folk rock
394;Indie folk
394;Baroque pop
395;Punk rock
395;New wave
395;Post-punk
396;Alternative country
396;Cowpunk
397;Alternative rock
398;Hip hop
399;Progressive metal
399;Folk metal
399;Power metal
399;Doom metal
399;Heavy metal
400;Blues
400;Soul
400;Funk
400;Rock music
401;Hard rock
402;Hard rock
402;Stoner rock
402;Garage rock
402;Blues rock
403;Teen pop
403;Pop music
403;Dance-pop
404;Grindcore
404;Deathcore
405;Indie rock
405;Indietronica
405;Britpop
406;Europop
406;Eurodance
407;Hard rock
407;Post-grunge
407;Alternative metal
407;Alternative rock
407;Heavy metal
408;Gospel music
408;Urban/contemporary gospel
409;Pop rock
409;Soft rock
409;Blue-eyed soul
410;Indie rock
410;Indietronica
410;Post-rock
412;Hardcore punk
413;Indie rock
413;Indietronica
413;Dream pop
413;Indie pop
414;Indie rock
414;Indietronica
414;Garage rock
414;Blues rock
415;Punk rock
415;Hardcore punk
416;New wave
416;Pop rock
416;Synthpop
417;Alternative rock
418;Indie rock
418;Indietronica
418;Alternative rock
419;Indie rock
419;Indietronica
419;Indie pop
422;Alternative metal
422;Nu metal
423;Southern hip hop
424;Folk rock
425;Dunedin Sound
426;Indie rock
426;Indietronica
426;Indie pop
427;Desert rock
427;Alternative rock
427;Experimental rock
428;Glam metal
429;Orchestral pop
430;Christian rock
431;Soul
431;Gospel music
431;Hip hop soul
432;Soul
432;Pop rock
432;Soft rock
432;Rhythm and blues
432;Blue-eyed soul
432;Bluegrass
433;Speed metal
433;Thrash metal
434;Electronica
435;Gothic rock
437;Pop rock
437;Alternative rock
438;Traditional folk music
438;Hip hop
438;Alternative rock
438;Comedy rock
439;Blues
439;Psychedelic rock
439;Jazz rock
439;Jazz fusion
439;Psychedelic soul
440;Hip hop
441;Indie rock
441;Indietronica
442;Intelligent dance music
443;Blues rock
444;Punk rock
444;Hardcore punk
444;Ska punk
444;Crust punk
446;Hard rock
446;Alternative rock
447;Post-rock
447;Alternative rock
449;Folk rock
449;Psychedelic rock
450;Melodic death metal
450;Death metal
450;Thrash metal
451;Glam rock
451;Pop rock
452;New wave
452;Pop rock
452;Rock music
453;Emo
453;Indie rock
453;Indietronica
453;Pop punk
453;Post-hardcore
453;Alternative rock
454;Blues
454;Rhythm and blues
454;Blue-eyed soul
454;Rock music
455;Melodic death metal
455;Death metal
456;Indie rock
456;Indietronica
457;Hard rock
457;Metalcore
457;Alternative metal
457;Nu metal
458;Hip hop
459;Hard rock
459;Blues rock
460;Jazz rock
460;Jazz fusion
460;Progressive rock
461;Indie rock
461;Indietronica
461;Alternative rock
462;Punk rock
462;Pop punk
462;Christian punk
463;Lounge music
463;Soul
463;Pop music
464;Stoner rock
464;Heavy metal
465;Pop music
465;Rock music
466;Southern rock
466;Folk rock
466;Indie rock
466;Indietronica
466;Alternative rock
467;Alternative rock
468;Hard rock
468;Psychedelic rock
468;Heavy metal
469;Electronica
469;Alternative rock
469;Alternative hip hop
470;Funk rock
470;Alternative rock
471;Bubblegum dance
471;Pop music
471;Eurodance
472;Metalcore
472;Post-hardcore
473;New wave
473;Soft rock
473;Synthpop
474;Soul
474;Pop music
474;Disco
474;Rock music
475;Christian rock
476;Psychedelic rock
476;Krautrock
476;Funk
476;Experimental rock
477;New wave
477;Synthpop
477;Post-punk
478;Dream pop
478;Shoegazing
478;Alternative rock
479;Country music
479;Pop rock
479;Alternative rock
479;Rock music
480;New wave
480;Rock music
480;Christian alternative music
480;Christian rock
481;Hard rock
481;Blues rock
481;Rock music
482;Punk rock
482;Melodic hardcore
482;Hardcore punk
483;Roots rock
483;Post-grunge
483;Alternative rock
484;Art rock
484;Grunge
484;Post-grunge
484;Alternative rock
485;Electronic dance muslc
486;New wave
486;Roots rock
486;Rock music
487;Progressive metal
487;Doom metal
487;Dark rock
487;Progressive rock
488;Grunge
488;Neo-psychedelia
488;Alternative rock
489;Indie rock
489;Indietronica
489;Art punk
489;Noise rock
489;Neo-psychedelia
489;Garage rock
489;Post-punk revival
491;Gothic rock
491;Pagan rock
492;Country music
493;Rap rock
493;Rapcore
493;Hip hop
495;Metalcore
496;Indie rock
496;Indietronica
496;Pop punk
497;Indie rock
497;Indietronica
497;Pop punk
497;Post-hardcore
498;Pop music
498;Rock music
499;Nu-disco
499;Funky house
500;Pop rock
500;Alternative rock
501;Punk rock
501;Dub
501;Garage rock
501;Alternative rock
501;Psychobilly
502;Folk rock
502;Electric folk
502;Folk punk
503;Hip hop
504;Hard rock
504;Psychedelic rock
504;Blues rock
504;Heavy metal
504;Progressive rock
505;Alternative rock
505;Rock music
505;Post-punk
506;Indie rock
506;Indietronica
506;Psychedelic rock
507;Indie pop
507;Alternative rock
508;Hard rock
508;Blues rock
508;Heavy metal
509;Instrumental rock
511;Roots rock
511;Blues rock
512;Soul
512;Pop music
513;Shoegazing
513;Black metal
513;Post-metal
513;Blackgaze
513;Alternative metal
514;Punk rock
514;Melodic hardcore
514;Pop punk
514;Skate punk
515;Hard rock
515;Alternative metal
515;Funk metal
516;Pop punk
516;Indie pop
