166;http://dbpedia.org/resource/Strong_Arm_Steady;Strong Arm Steady
167;http://dbpedia.org/resource/Tahiti_80;Tahiti 80
168;http://dbpedia.org/resource/I_(band);I (band)
169;http://dbpedia.org/resource/Molemen;Molemen
170;http://dbpedia.org/resource/Muleskinner_(band);Muleskinner (band)
171;http://dbpedia.org/resource/Heathen_(band);Heathen (band)
172;http://dbpedia.org/resource/Telekinesis_(band);Telekinesis (band)
173;http://dbpedia.org/resource/Defecation_(band);Defecation (band)
174;http://dbpedia.org/resource/Mak_and_the_Dudes;Mak and the Dudes
175;http://dbpedia.org/resource/Crimson_Moonlight;Crimson Moonlight
176;http://dbpedia.org/resource/Human_Radio;Human Radio
177;http://dbpedia.org/resource/Atoms_for_Peace_(band);Atoms for Peace (band)
178;http://dbpedia.org/resource/Thunderbirds_Are_Now!;Thunderbirds Are Now!
179;http://dbpedia.org/resource/Institute_(band);Institute (band)
180;http://dbpedia.org/resource/Into_the_Moat;Into the Moat
181;http://dbpedia.org/resource/Ramona_Falls_(band);Ramona Falls (band)
182;http://dbpedia.org/resource/The_Blackwood_Brothers;The Blackwood Brothers
183;http://dbpedia.org/resource/Eleven_(band);Eleven (band)
184;http://dbpedia.org/resource/Vondur;Vondur
185;http://dbpedia.org/resource/Eternal_Elysium;Eternal Elysium
186;http://dbpedia.org/resource/Torch_(band);Torch (band)
187;http://dbpedia.org/resource/Chopper_City_Boyz;Chopper City Boyz
188;http://dbpedia.org/resource/Malevolence_(band);Malevolence (band)
189;http://dbpedia.org/resource/WC_and_the_Maad_Circle;WC and the Maad Circle
190;http://dbpedia.org/resource/Capellen_Choir;Capellen Choir
191;http://dbpedia.org/resource/The_Flying_Lizards;The Flying Lizards
192;http://dbpedia.org/resource/The_Famine;The Famine
193;http://dbpedia.org/resource/Brain_Failure;Brain Failure
194;http://dbpedia.org/resource/Balanescu_Quartet;Balanescu Quartet
195;http://dbpedia.org/resource/The_Fixxers;The Fixxers
196;http://dbpedia.org/resource/College_Boyz;College Boyz
197;http://dbpedia.org/resource/Papercuts_(band);Papercuts (band)
198;http://dbpedia.org/resource/Brutal_Knights;Brutal Knights
199;http://dbpedia.org/resource/Castrovalva_(band);Castrovalva (band)
200;http://dbpedia.org/resource/Gila_(band);Gila (band)
201;http://dbpedia.org/resource/Nautical_Almanac_(band);Nautical Almanac (band)
202;http://dbpedia.org/resource/Morning_Teleportation;Morning Teleportation
203;http://dbpedia.org/resource/Die_Haut;Die Haut
204;http://dbpedia.org/resource/Turnstyle_(band);Turnstyle (band)
205;http://dbpedia.org/resource/Zoax;Zoax
206;http://dbpedia.org/resource/Erra_(band);Erra (band)
207;http://dbpedia.org/resource/Obsequiae;Obsequiae
208;http://dbpedia.org/resource/The_Revelators;The Revelators
209;http://dbpedia.org/resource/My_Drug_Hell;My Drug Hell
210;http://dbpedia.org/resource/Ballboy_(band);Ballboy (band)
211;http://dbpedia.org/resource/The_Back_Horn;The Back Horn
212;http://dbpedia.org/resource/Luniz;Luniz
213;http://dbpedia.org/resource/Death_Cab_for_Cutie;Death Cab for Cutie
214;http://dbpedia.org/resource/We_Are_Wolves;We Are Wolves
215;http://dbpedia.org/resource/Dreamtone_&_Iris_Mavraki's_Neverland;Dreamtone & Iris Mavraki's Neverland
216;http://dbpedia.org/resource/Headlights_(band);Headlights (band)
217;http://dbpedia.org/resource/Mint_Royale;Mint Royale
218;http://dbpedia.org/resource/Single_File_(band);Single File (band)
219;http://dbpedia.org/resource/Soilent_Green;Soilent Green
220;http://dbpedia.org/resource/Terri_&_Monica;Terri & Monica
221;http://dbpedia.org/resource/Hocico;Hocico
222;http://dbpedia.org/resource/Phantom_Planet;Phantom Planet
223;http://dbpedia.org/resource/The_Philosopher_Kings;The Philosopher Kings
224;http://dbpedia.org/resource/Planxty;Planxty
225;http://dbpedia.org/resource/Eagles_of_Death_Metal;Eagles of Death Metal
226;http://dbpedia.org/resource/T.O.K.;T.O.K.
227;http://dbpedia.org/resource/Curved_Air;Curved Air
228;http://dbpedia.org/resource/Glyder_(band);Glyder (band)
229;http://dbpedia.org/resource/Lucifer's_Friend;Lucifer's Friend
230;http://dbpedia.org/resource/Erreway;Erreway
231;http://dbpedia.org/resource/Wreckx-n-Effect;Wreckx-n-Effect
232;http://dbpedia.org/resource/The_Yellow_Moon_Band;The Yellow Moon Band
233;http://dbpedia.org/resource/Daughtry_(band);Daughtry (band)
234;http://dbpedia.org/resource/Big_D_and_the_Kids_Table;Big D and the Kids Table
235;http://dbpedia.org/resource/Fink_(singer);Fink (singer)
236;http://dbpedia.org/resource/The_Ghost_of_a_Thousand;The Ghost of a Thousand
237;http://dbpedia.org/resource/The_Rural_Alberta_Advantage;The Rural Alberta Advantage
238;http://dbpedia.org/resource/The_Cunninghams;The Cunninghams
239;http://dbpedia.org/resource/The_Escape_Club;The Escape Club
240;http://dbpedia.org/resource/Tortoise_(band);Tortoise (band)
241;http://dbpedia.org/resource/Winger_(band);Winger (band)
242;http://dbpedia.org/resource/Echobelly;Echobelly
243;http://dbpedia.org/resource/The_69_Eyes;The 69 Eyes
244;http://dbpedia.org/resource/Asobi_Seksu;Asobi Seksu
245;http://dbpedia.org/resource/Hey_Mercedes;Hey Mercedes
246;http://dbpedia.org/resource/Reuben_(band);Reuben (band)
247;http://dbpedia.org/resource/Tree63;Tree63
248;http://dbpedia.org/resource/Arc_Angels;Arc Angels
249;http://dbpedia.org/resource/Frickin'_A;Frickin' A
250;http://dbpedia.org/resource/Confederate_Railroad;Confederate Railroad
251;http://dbpedia.org/resource/Mystic_Prophecy;Mystic Prophecy
252;http://dbpedia.org/resource/Cavedogs;Cavedogs
253;http://dbpedia.org/resource/El_Pus;El Pus
254;http://dbpedia.org/resource/Enuff_Z'Nuff;Enuff Z'Nuff
255;http://dbpedia.org/resource/The_Boy_Least_Likely_To;The Boy Least Likely To
256;http://dbpedia.org/resource/Gazpacho_(band);Gazpacho (band)
257;http://dbpedia.org/resource/Our_Heart's_Hero;Our Heart's Hero
258;http://dbpedia.org/resource/Coldcut;Coldcut
259;http://dbpedia.org/resource/Bongwater_(band);Bongwater (band)
260;http://dbpedia.org/resource/Mumford_&_Sons;Mumford & Sons
261;http://dbpedia.org/resource/Ubiquitous_Synergy_Seeker;Ubiquitous Synergy Seeker
262;http://dbpedia.org/resource/Warbringer;Warbringer
263;http://dbpedia.org/resource/Anal_Cunt;Anal Cunt
264;http://dbpedia.org/resource/Angelic_Upstarts;Angelic Upstarts
265;http://dbpedia.org/resource/The_Bluetones;The Bluetones
266;http://dbpedia.org/resource/Mae_Moore;Mae Moore
267;http://dbpedia.org/resource/My_Chemical_Romance;My Chemical Romance
268;http://dbpedia.org/resource/The_Mr._T_Experience;The Mr. T Experience
269;http://dbpedia.org/resource/Intruder_(American_band);Intruder (American band)
