645;Malcolm Dick
646;Arthur Brown
647;Daniel Freyberg
648;Henkka Seppälä
649;Alexi Laiho
650;Janne Wirman
651;Jaska Raatikainen
652;Pete Loeffler
653;Tim Gane
654;Lætitia Sadier
655;Simon Johns
656;Blaine Thurier
657;John Collins
658;Todd Fancey
659;Kathryn Calder
660;Neko Case
661;Dan Bejar
662;Joe Seiders
662;Joseph Seiders
663;Knut Schreiner
664;Happy-Tom
664;Thomas Seltzer
665;Rune Rebellion
666;Steven Wilson
667;Tim Bowness
668;Arno Carstens
669;Jess Margera
670;Matt Deis
671;Chad I Ginsburg
672;John Lees
673;Les Holroyd
674;Louie Palmer
675;Terry Hall
676;David A. Stewart
677;Tommy Stewart
678;Pete Murray
679;Bill Stevenson
680;Milo Aukerman
681;Karl Alvarez
682;Stephen Egerton
683;Shana Cleveland
684;Ryan Malcolm
685;Waldemar Sorychta
686;Dave Lombardo
687;Loga Ramin Torkian
688;Azam Ali
689;Habib Meftah Bouchehri
689;Habib Meftah Boushehri
690;Eric Friedman
691;John Connolly
692;Scott Phillips
693;Vinnie Hornsby
693;Vince Hornsby
694;Kawabata Makoto
695;Lizzy Plapinger
696;Franny Griffiths
697;Tommy Scott
698;Asgeir Mickelson
699;Steinar Gundersen
700;Nocturno Culto
701;Jon McClure
702;Ty Segall
703;Charles Moothart
703;Charles Frances Moothart
704;Micky Moody
705;Jørn Lande
705;(Jorn)
706;Sid Ringsby
707;Bernie Marsden
708;Jordan Mohilowski
709;Beto Vázquez
710;Gordon Sharp
711;Nate Query
712;Chris Funk
712;Christopher Funk
713;John Moen
714;Jenny Conlee
715;Jon Neufeld
716;Josh Gabriel
717;Mavie Marcos
718;Fernanda Takai
718;Fernanda Barbosa Takai
719;Mia Clarke
720;Naut Humon
721;King Khan
722;Gregori Chad Petree
723;Roger Peterson
724;Gavin Castleton
725;Erik Friedlander
726;Michael Montes
727;Mike Campbell
728;Benmont Tench
729;Tom Leadon
730;Tom Petty
731;Dave Pybus
732;Sarah Jezebel Deva
733;Jack Cooper
734;John Roome
734;Witchman
735;Imani
736;Matthew Kelly
737;Matt Embree
737;Matthew Embree
738;Rich Balling
739;Craig Owens
740;Anthony Green
741;Tomas Lindberg
742;Kristian Wåhlin
743;Rob Pope
744;Matt Suggs
745;Samoth
746;Trym Torson
747;Destructhor
748;Craig Fairbaugh
749;Shane Gallagher
750;Akemi Kanda
751;Yui Horie
752;Masumi Asano
753;Madoka Kimura
754;Chiaki Takahashi
755;Buffy
756;Jota
757;Mary Timony
758;Jeremy Shada
759;Zack Shada
760;Dov Rosenblatt
761;Todd Michael Hall
762;Nick Lee
763;Knxwledge
764;Clorofila
765;Bostich
766;Jooheon
766;Lee Jooheon
767;Tomoya
767;Tomoya Kanki
768;Takahiro Moriuchi
768;森内 貴寛
769;Ryota
769;Ryota Kohama
770;Toru
770;Toru Yamashita
771;Trevor Peres
772;Donald Tardy
773;John Tardy
774;Terry Butler
775;Jack Natz
776;Tod A
776;Tod Ashley
777;Phil Puleo
778;Jim Coleman
779;Simon Kvamm
780;Kristian Riis
780;Kristian Dirks Riis
781;René Munk Thalund
782;Dave Baksh
783;Chuck Coles
784;Todd Mohney
785;Tim McIlrath
786;Scott Hull
787;Henry Paul
788;Martina Sorbara
789;John Engelbert
790;Kanon
791;Dallas Taylor
792;Jay Watson
793;Kevin Parker
794;Cam Avery
795;Brian Marquis
796;Keiko Terada
797;Ian Astbury
798;Billy Duffy
799;John Tempesta
800;Damon Fox
801;Grant Fitzpatrick
802;Consecration
803;Lee Sunmi
803;Sunmi
804;Hyerim
804;Hyelim
805;Phil Anselmo
806;Jimmy Bower
807;Pepper Keenan
808;Patrick Bruders
809;Ed Wynne
810;Klayton
811;Andrew Schwab
812;Scott Ayers
813;Bliss Blood
814;Kenny Kweens
815;Tracii Guns
816;Phil Lewis
817;Steve Riley
818;Toni Garrido
819;Ahrue Luster
820;Cristian Machado
821;Dave Chavarri
822;Srđan Branković
823;Joe Plummer
824;Maria Rådsten
825;Nanne Grönvall
826;Jeremy McKinnon
827;Dale Henderson
828;Christian Olde Wolbers
829;Stan Webb
830;Faris Badwan
831;Rachel Zeffira
832;Toño Rosario
833;Kazu Makino
834;Steve Askew
835;Limahl
836;Nick Beggs
837;Jez Strode
838;Treach
839;Cornelius Jakhelln
840;Lars Nedland
841;Steve Hauschildt
842;Mark McGuire
843;Talib Kweli
844;Res
845;Samuelle
846;Nick Littlemore
847;Peter Mayes
848;Michael McKean
849;Bert Sommer
850;Tom Finn
851;Michael Brown
852;Steve Martin Caro
853;Mary Byker
854;Pitchshifter
855;Graham Crabb
856;Miho Fukuhara
857;Pete Way
858;Neil Finn
858;(OBE)
859;SJD
860;Per Gessle
861;Marie Fredriksson
862;Apparat
863;Duke Decter
864;John Fahnestock
865;Casey Chaos
866;Roy Mayorga
867;David Yow
868;Tim Sommer
869;Hahn Rowe
870;Mimi Goese
871;Patryk Dominik Sztyber
872;Adam Darski
873;Tomasz Wróblewski
874;Inferno
874;Zbigniew Robert Promiński
875;Daithí Sproule
876;Mairéad Ní Mhaonaigh
877;Ian Thornley
878;Park Chanyeol
878;Park Chan-yeol
879;Oh Sehun
879;Sehun
880;D.O.
880;D.O. Penguin
881;Suho
882;Xiumin
883;Byun Baek-hyun
883;Baekhyun
884;Darrin Pfeiffer
885;Elliot Lurie
886;Joey Karam
887;Gabe Serbian
888;Justin Pearson
889;Conrad Lant
889;Cronos
890;Jonathan Steingard
891;Jean-Luc De Meyer
892;Richard Jonckheere
893;Johnny Colla
894;Huey Lewis
895;Carol Decker
896;Chris Abrahams
897;Lloyd Swanton
898;Tony Buck
899;Marius Moga
900;John Stanier
901;Mike Patton
902;Trevor Dunn
903;Duane Denison
904;Chris Conley
905;Arun Bali
906;Dero Goi
907;Matt Kramer
908;Jason Bieler
909;Gil Seong-joon
910;Gary
911;Bill Janovitz
912;Chris Maitland
913;John Mitchell
914;Pete Trewavas
915;John Beck
916;Mike Heller
917;Tom Larkin
918;Jon Toogood
919;Karl Kippenberger
920;Sigurjón Kjartansson
921;Óttarr Proppé
922;Jóhann Jóhannsson
923;Mark Slaughter
924;Jeff Blando
925;Dana Strum
926;Simon Scott
927;Neil Halstead
928;Rachel Goswell
929;Joe Bramley
930;Liam Finn
931;Mikko Sirén
932;Richard Z. Krusper
933;Joe Letz
934;Jamey Jasta
935;Joey Tafolla
936;Rowan Robertson
937;Drew Fortier
938;Chris Foley
939;Jaime Sciarappa
940;Dazastah
941;Optamus
942;Leeland Dayton Mooring
943;Tash
944;James Robinson
944;J-Ro
945;Omar Rodríguez-López
946;Paul Hinojos
946;Pablo Hinojos (Paul Hinojos)
947;Tony Hajjar
948;Cedric Bixler-Zavala
949;Keeley Davis
950;Chris Cox
951;Bret Lunsford
952;Calvin Johnson
953;Heather Lewis
954;Lil B
955;Michael Foster
956;Bill Leverty
957;C. J. Snare
957;C.J. Snare
958;Allen McKenzie
959;Denisse Guerrero
960;Phil Cunningham
961;Gillian Gilbert
962;Tom Chapman
963;Stephen Morris
964;Bernard Sumner
965;Ralph Towner
966;Paul McCandless
967;Johnny Rabb
968;Paul Barker
969;Daddy X
969;Brad Daddy X Xavier
970;The Dirtball
971;D-Loc
971;Dustin D-Loc Miller
972;Stevie Young
973;Angus Young
974;Chris Slade
975;Axl Rose
976;Jordan Hastings
977;Aaron Solowoniuk
978;Benjamin Kowalewicz
979;Ian D'Sa
980;Jimmy Murrison
981;Lee Agnew
982;Peter Agnew
983;Werner Zappi Diermaier
983;Werner \\\\Zappi\\\\ Diermaier
984;Mark Kendall
985;Michael Lardie
986;Jack Russell
987;Audie Desbrow
988;Colm Ó Cíosóig
989;Debbie Googe
990;Kevin Shields
991;Bilinda Butcher
992;Ernie Isley
993;Ronald Isley
994;Jon Crosby
995;Matt Hoopes
995;Matthew Hoopes
996;Matt Thiessen
997;Martin Walkyier
998;Andy Sneap
999;Gizz Butt
1000;Jason Martin
1001;Steven Dail
1002;Ted Leonard
1003;Steve Krolikowski
1004;Jeff Scott Soto
1005;Doyle Wolfgang von Frankenstein
1006;Dr. Chud
1007;Jerry Only
1008;Bae Suzy
1009;Min
1010;Fei
1010;Wang Feifei
1011;Charlotte Wessels
1012;Martijn Westerholt
1012;David Martijn Westerholt
1013;Josh Portman
1014;Ryan Key
1015;Barney Greenway
1015;Mark Greenway
1016;Shane Embury
1017;Danny Herrera
1018;Jeff Waters
1019;Chuck Cleaver
1020;Terri Nunn
1021;DJ Manian
1022;Rick Smith
1023;Karl Hyde
1024;Florence LaRue
1025;Clive Nolan
1026;Mick Pointer
1027;Kevin Max
1028;TobyMac
1029;Michael Tait
1030;Andy Bell
1031;Vince Clarke
1032;Matias Kupiainen
1033;Jens Johansson
1034;Timo Kotipelto
1035;Lauri Porra
1036;Andy Scott
1037;Steve Priest
1038;Neal Morse
1039;Mike Portnoy
1040;Roine Stolt
1041;M. Shadows
1042;Zacky Vengeance
1043;Brooks Wackerman
1044;Johnny Christ
1045;Synyster Gates
1046;Mac Powell
1047;Mark Lee
1048;John Patitucci
1049;Eric Marienthal
1050;Dave Weckl
1051;Hisashi Imai
1052;Toll Yagami
1053;Yutaka Higuchi
1054;Hidehiko Hoshino
1055;Atsushi Sakurai
1056;Brian Fechino
1057;Pat McGee
1058;Jonathan Williams
1058;Jonathan Bryan Williams
1059;Steve Hogarth
1060;Steve Rothery
1061;Ian Mosley
1062;Mark Kelly
1063;John Dragonetti
1064;Park Bom
1065;CL
1065;CL / Chaelin
1066;Sandara Park
1067;Don Devore
1068;Miles Benjamin Anthony Robinson
1069;Johnny Hunt
1069;Dr. Johnny M. Hunt
1070;Momoko Tsugunaga
1071;Miyabi Natsuyaki
1071;夏焼雅
1072;Airi Suzuki
1072;鈴木 愛理
1073;Goher Mumtaz
1074;Lee Donghae
1074;Lee Dong-hae
1075;Eunhyuk
1076;Leeteuk
1077;Yesung
1078;Cho Kyuhyun
1079;Kangin
1080;Kim Ryeowook
1080;Ryeowook
1081;Shindong
1082;Sungmin
1082;Lee Sungmin
1083;Max A. George
1084;Jay McGuiness
1085;Tony McGuinness
1086;Laurent Brancowitz
1087;Thomas Mars
1088;Martin Kemp
